companyName,company_reviews,company_offeredRole,company_roleLocation,listing_jobDesc,requested_url
HASHSTACS PTE. LTD.,4.1,Frontend Software Engineer (Remote),Singapore,B.S. or M.S. in Computer Science or equivalent degree or experience UX Design experience Relevant work experience with React.js and web applications Experience with 1 or more cloud platforms (AWS is a plus) Parental leave Work from home Monday to Friday Performance bonus Bachelor's or equivalent (Preferred) software engineering: 2 years (Preferred),https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_89294160&cb=1661965329827&jobListingId=1008087213212&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-7f7e409536cdbc5b-
3E Accounting,4.4,Artificial Intelligence AI Software Engineer,Singapore,"Develop, integrate and maintain in-house Artificial intelligence (AI) using leading AI technologies Develop, evaluate, deploy and support automatic workflows Hands-on installation of technologies, setting up development environment, coding from scratch, automating build and deployment Work with machine learning /deep learning /NLP to develop systems to the analysis of text datasets. Ensure the technical documentation and learning material is updated To schedule and monitor all projects in charge Any other ad-hoc duties as required or assigned Degree in Computer Science, Information Technology or related degrees Prior experience in AI software development Good knowledge of Artificial Intelligences (AI) and Machine Learning concepts.",https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&cs=1_b0f57d3d&cb=1661965329829&jobListingId=1006085708611&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-158123d9e6b8e073-
Indeed,4.4,Staff Software Engineer (multiple roles),Singapore,"
Improve our current products to better match job seekers and employers in specific high priority and strategic markets 
Architect new solutions and validate new ideas by either building on top of existing solutions or by prototyping new products 
Identify system architecture and product design improvements to better support feature development and integration with new products for job seekers in all international markets 
Mentor engineers and provide feedback on software architecture designs and implementations of new products and features. 
Strong sense of ownership in everything they build, able to build new products from scratch quickly 
Comfortable working in other teams’ code bases 
BS in Computer Science or related area, or relevant work experience 
7+ years of experience in software development 
Experience building scalable, distributed, highly-available systems 
Knowledge of Java, React, Spring Framework, Protobuf, REST, gRPC, GraphQL and JSON 
Experience in building Machine Learning pipelines desired",https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&cs=1_929fca56&cb=1661965329825&jobListingId=1007285082715&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-d2f785ec70a7f6aa-
INTENSECOMP PTE. LTD.,NA,Software Engineer,Remote,Dental insurance Flexible schedule Professional development Work from home Monday to Friday 13th month salary Performance bonus Yearly bonus Software Programming: 1 year (Preferred) 50% (Required),https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_13862908&cb=1661965329828&jobListingId=1008010242891&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-cd8a37fc96a1abe9-
Anradus Pte Ltd,5.0,Software Engineer #52073,Singapore,"Industry/ Organization Type: Manufacturing/ Production Position Title: Software Engineer Working Location: Kallang Working Hours: 5 days (Monday to Friday, 9AM to 6PM) Salary Package: Basic Salary + AWS + Variable Bonus + Medical Benefits Salary Range: $2,800 - $5,000 Duration: 1 year contract (Convertible to Permanent Role) Maintain, improve, design & develop application software for car parking management systems Communicate with design, product and related personnel to ensure product quality and development progress Maintain and optimize product performance and improve user experience Diploma/ Degree in Computer/IT/Electronics 1-2 years experience in database and software development Familiar with Node JS, React JS, MSSQL, VB.Net Candidates without experience are welcome. Training will be provided. Submit your application by clicking the APPLY button; Email your resume to Job(at)anradus.com.sg. Please indicate #52073 on the email subject. identity to work without a sponsor(if no,we need apply pass) (Preferred)",https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7f784b01&cb=1661965329827&jobListingId=1008098750946&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-31f53252bf9a56ad-
Glints Singapore Pte Ltd,4.2,Software Development Engineer (IT),Singapore,Monday to Friday Software Development Engineer: 3 years (Required),https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8fd918b7&cb=1661965329828&jobListingId=1008019464649&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-8e118e981e96f09a-
WS Audiology APAC,4.0,Software Test Engineer,Singapore,"Collaborate and work closely together with Agile software development team to review and analyze system requirements and communicate on any feedback from the test execution through work packages or change requests
 Create, maintain test specifications against system requirements and execute tests which includes Functional Testing, System Integration Testing, Performance Testing and Compliance Testing etc. to ensure high product quality Work with product owner to create acceptance criteria for user stories and support the team to achieve sprint goals by testing acceptance criteria of user stories Investigate issues and participate in Change Control Board meetings to provide inputs such as issue reproducibility, severity, impacts et cetera Find opportunities to automate test executions and setup automation test suites wherever possible in the aim to reduce manual testing and to enable instant feedback on every software change Bachelor’s Degree, preferably in computer science, electrical or computer engineering
 2+ years of experience in product testing Knowledge of agile process and principles Good communication skills, sharp analytical and logical-thinking skills Energetic self-starter with open mind and be able to go beyond the boundaries Familiarity with any test automation framework and scripting languages, for example Perl, would be an added advantage
",https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_cd25446c&cb=1661965329828&jobListingId=1008087983802&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-fb13f348c0aaaa58-
"JPMorgan Chase Bank, N.A.",3.8,"Software Engineer, Associate",Singapore,"You'll be developing cloud native products to be used by engineers across the firm.
 You'll be developing products that help test and measure the resiliency and availability of products and services.
 You'll be developing products that help solve the problems associated with micro services orchestration.
 You'll be part of a small and highly focused product team which is responsible for developing and running the product end to end.
 You'll contribute in making architecture decisions and make suggestions to improve the current architecture of the product.
 Bachelor's degree or equivalent
 Minimum 2 years of experience required
 Passionate about new technologies and building a culture of innovation, continuous learning and improvement.
 Proficiency in one or more modern programming languages. Java, python or Go is preferred.
 Exposure to building frameworks and tooling for large scale engineering operations, resiliency patterns like circuit breakers, bulkheads, backpressure, etc.
 Exposure to authentication and authorization protocols and solutions.
 Experience developing cloud native applications on platforms like CloudFoundry, Kubernetes, Heroku, AWS, GCP, Azure, etc.
 Exposure to effective operational patterns like SLOs, metrics, health checks, error budgets, distributed tracing, etc.
",https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&cs=1_13c0fbd2&cb=1661965329826&jobListingId=1008097866366&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-613be739d393317a-
Goldman Sachs,4.0,Software Engineer,Singapore,"Software Development Life Cycle (SDLC) is a suite of products that provides build and deploy tooling for Engineers in the firm. It provides a modern, secure and highly available plant that facilitates source control, code review, build, test and production activation.
 Distributed Scheduling (Runtime) offers scalable, highly available and efficient platforms and services for job scheduling, grid computing, Compute-as-a-Service, file transfer and software distribution across the firm.
 Build / Development
GitLab - The firm's strategic vendor CI/CD platform, hosted in-house with instances on-prem and on public cloud.
Proprietary SDLC, based on Subversion for source control to facilitate workflow and approvals around building and deploying software.
In-house developed Configuration Database (CD) tools for deploying Software packages, config and Infrastructure as Code.
SecDb ecosystem - Proprietary securities language used in SecDb, Java / Scala monorepo that integrates with Slang and SecDb, CI/CD platform for the C++ / Java of SecDb and non-SecDb teams.
 GitLab - The firm's strategic vendor CI/CD platform, hosted in-house with instances on-prem and on public cloud.
 Proprietary SDLC, based on Subversion for source control to facilitate workflow and approvals around building and deploying software.
 In-house developed Configuration Database (CD) tools for deploying Software packages, config and Infrastructure as Code.
 SecDb ecosystem - Proprietary securities language used in SecDb, Java / Scala monorepo that integrates with Slang and SecDb, CI/CD platform for the C++ / Java of SecDb and non-SecDb teams.
 Testing - A high scale parallel testing environment for executing millions of automated tests daily.
 Distribution - Linux and Windows software distribution system used by Gitlab, Conductor Software Factory and Train.
 Artifact Repository - Primary build artifact repository hosting terabytes of internal and external software packages and industry standard asset repos such as Mavern Central, NPMScopes and PyPi, running on Sonatype Nexus.
 Job / Task Scheduling - Large scale, multi-tenant cross platform distributed computing system running batch workflows.
 Grid Compute - Grid compute for Slang and JSI workloads, used for risk and pricing calculations.
 Stateless Compute - Cluster manager that interfaces with Job Schedulers to schedule stateless jobs on shared pool of managed compute.
 File Transfer - Managed file transfer with external clients.
 Cloud native architectures in AWS
 Experience with large scale monorepos, build systems and deployment paradigms
 Expertise in commercial / open source build systems (Gradle / Bazel / Make) and strong knowledge of software change management systems
 Experience of DevOps, SRE, infrastructure (storage / networks / etc.)
 Design and implement mid to large scale distributed systems
 Partner with and provide technical guidance on best practices to the GS engineering community, the business teams, and operations teams
 3+ years of industry experience.
 General knowledge of multiple languages, and in-depth strong programming skills of at least one of: Golang, Erlang, Java, Python, C, C++, Java.
 Strong software engineering fundamentals.
 Experience with all stages in the lifecycle of developing and running large distributed systems.
 Experience managing performance, availability and scale of mid- to large-sized systems.
 Passionate about the software development process and facilitating high frequency / high quality change across a vibrant and diverse user community.
 Team player, eager to work in a global organization.
 Strong oral and written communication skills.
 BSc / MSc / PhD in relevant field (Computer Science, Maths, Physics).
 Highly knowledgeable about running key business applications on Linux platforms and Linux internals.
 Knowledgeable about networking (TCP, UDP, ICMP, ARP, DNS, TLS, HTTP, SSH, etc).
 Experience with Cloud and Infrastructure as Code technologies - AWS, Terraform, Docker, Kubernetes, etc.",https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&cs=1_638a7b61&cb=1661965329827&jobListingId=1008105703983&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-9628948a13e04c50-
Namespace Labs,5.0,Software Engineer: Control Plane,Remote,"
Be responsible for designing and implementing key APIs of the Namespace platform (both internal and externally facing). 
Operate across multiple layers of our stack, whether interfacing with the underlying container and virtualization infrastructure or with our frontends. 
Collaborate closely with product and engineering across the company. 
Directly contribute to the product roadmap, together with the rest of the team, and be empowered to drive key product and technical design decisions. 
Previously worked with Go, and/or in other distributed control planes (e.g. Kubernetes control plane, Kubernetes controllers, Envoy, etc). 
Have experience with load balancing, ingress and egress network policies, HTTP and/or gRPC. 
Have set up and operated logging aggregation and metrics across multiple services. 
Ponder what the right verbs and nouns that an API should make use of are. 
Are energized about the idea of jumping into different machines and containers to debug a hard-to-understand pattern or bug. 
You can concisely describe your ideas in written form, and quickly put together proofs of concept. 
Excel in a work environment that is mostly asynchronous (writing, messaging, videos). 
Have a passion for infrastructure, and keep yourself up to date with advances in the industry. 
Thrive in ambiguity and can charter your own path. 
You’re energized to learn and apply new technologies and skills. 
Feel a sense of responsibility to bring the most value possible to users. 
Industry-competitive salary (we’re happy to share the details with you early on). 
Equity package with friendly terms intended to become life-changing for early team members. 
Fully remote with flexible hours wherever you call home, although we ask that your workday overlaps at least four hours with CET. Equipment budget for your home office. 
25 days PTO, health benefits, and pension account with full employer match. 
We pride ourselves in being a small team that can achieve beyond what’s usually expected for our numbers. 
We balance our long-term vision with short-term pragmatism. 
We believe in being fully transparent internally on how decisions are made, on how the company is doing, and we use that information to drive our decisions.",https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&cs=1_cc2ec83f&cb=1661965329829&jobListingId=1008089399519&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-7e569212c7bc8de7-
Titansoft Pte Ltd,4.2,Software Developer,Singapore,"Apply your expertise on our web applications using C#, ASP.NET and SQL Integrate awesome web applications with database or API-driven back-ends Design incredible templates for users' ease of use Enjoy solving problems with your team before they even turn into one Challenge ideas and spawn something revolutionary Work in a dynamic, collaborative and non-hierarchical team to break new grounds 0 - 2 years of technical expertise in the software industry (fresh graduates definitely welcome! Knowledge and experience on industry best practices, such as Test-Driven Development and Clean Code Passionate about life and how to make it better through technology Continuously seek improvements in our products, processes and people Constantly honing programming techniques and developing new skills 18 days of rest and relaxation for each year (P.S. It gets even better over the years!) Competitive salaries and bonuses bench-marked against big players in the industry (Yeap, those companies!) Flexible working hours (Sleep in a little longer after fixing that pesky bug from last night) Comprehensive insurance coverage Very well-stocked pantry (We've never heard of the term 'Hunger Games', nope) Communities of Practice and Workshops catered for your growth and learning Substantial subsidies and programs to keep that creative flow while having fun (Health promotion program, annual overseas company outing, an annual dinner that nobody will ever forget, etc.) Hardcore work and hardcore fun! Cell phone reimbursement Flexible schedule Health insurance Parental leave Professional development Work from home Flexible hours Monday to Friday 13th month salary Performance bonus",https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_199396de&cb=1661965329828&jobListingId=1007839709621&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-cc714a31954238ee-
JD Recruitment Pte Ltd,NA,Software Engineer,Singapore,"Software development, modeling, simulation, testing, and quality assurance. Analysis of user requirements, software, and code. Completing systems risk and reliability analysis. Monitoring systems performance. Perform maintenance and software integrations for existing systems. Application development for the full lifecycle of software. Identify and assess new technologies prior to implementation. Creating technical specifications. Minimum Diploma in Software Engineering with 3 years of relevant experiences Familiarity with more than 1 programming languages Good analytical and problem-solving skills Day shift Monday to Friday",https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b78ed849&cb=1661965329829&jobListingId=1008101149788&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-b1151742af03fc4a-
